Protein "Molecular weight (g/mol)" d00 d05 d10 d20 d20+06h d20+48h d00 d05 d10 d20 d20+06h d20+48h
Rv0517 48178.5 35 34 32 23 28 45 13.7 2.8 2.6 3.0 11.5 8.8
Rv0518 24603.9 111 101 86 81 149 117 7.5 29.6 11.7 25.8 18.2 12.1
Rv0523c 14827.2 140 153 159 141 146 142 22.5 19.2 34.0 29.1 32.0 21.4
Rv0524 47515.9 623 894 857 673 737 731 59.1 43.0 29.9 29.1 52.6 103.6
Rv0525 22212.1 364 462 454 395 438 404 9.3 28.9 38.1 9.5 32.0 61.0
Rv0526 23218.3 135 166 121 96 92 140 5.0 19.1 34.7 21.8 12.7 13.1
Rv0528 57131.2 44 32 31 20 30 60 9.6 3.7 8.5 4.1 6.2 11.0
Rv0529 35035.1 73 69 59 55 55 68 9.4 4.4 6.6 4.9 4.5 9.1
Rv0530 43022.5 397 393 366 314 371 415 22.3 34.2 58.3 1.6 14.0 94.4
Rv0533c 34872.5 300 337 292 284 284 296 10.8 8.4 64.4 37.4 20.6 49.8
Rv0536 36219.2 37 37 34 33 36 34 1.5 3.0 2.4 2.9 3.3 6.0
Rv0537c 50170.4 84 55 51 47 56 78 10.8 4.2 17.3 2.7 8.3 3.9
Rv0538 55076.0 311 348 274 218 200 280 48.4 16.0 37.4 20.0 30.7 73.4
Rv0539 22371.8 16 9 6 6 7 11 2.3 0.7 0.2 0.8 1.9 0.9
Rv0543c 11279.8 184 240 264 228 249 244 15.3 17.0 41.4 13.2 25.3 23.4
Rv0546c 14346.2 274 281 287 280 287 334 40.2 54.9 20.2 39.6 51.8 57.7
Rv0547c 31834.9 133 112 121 166 192 132 45.7 5.6 38.5 10.7 34.5 12.5
Rv0548c 34656.9 332 394 417 360 369 409 9.0 34.5 22.9 17.3 20.9 66.5
Rv0551c 61065.9 67 66 59 62 62 53 3.3 5.0 3.2 5.4 5.6 5.6
Rv0552 57340.1 109 120 122 106 116 103 13.7 5.0 6.7 17.8 10.2 31.5
Rv0554 28349.4 467 473 531 488 547 399 34.1 80.3 52.4 68.9 52.7 44.3
Rv0555 57803.8 253 292 304 252 312 292 29.2 34.4 24.3 46.7 13.6 62.5
Rv0556 18725.0 31 27 17 18 30 28 9.9 8.1 1.4 5.9 7.3 2.4
Rv0558 25298.9 99 81 74 86 108 106 6.6 19.3 31.1 19.6 10.8 9.9
Rv0559c 12116.7 135 125 98 87 96 100 17.1 10.3 10.0 13.4 18.4 9.7
Rv0560c 25945.3 134 157 152 183 180 130 12.7 21.7 8.7 28.8 4.1 21.0
Rv0562 35528.3 383 466 416 369 397 463 12.9 32.2 60.2 16.0 19.9 53.0
Rv0563 30681.9 144 126 110 109 207 172 9.5 8.4 12.5 3.2 10.1 25.6
Rv0564c 36153.4 150 162 145 123 137 150 2.9 15.7 9.4 11.7 15.7 12.6
Rv0566c 18077.6 729 816 799 660 611 736 85.5 36.0 48.7 60.9 65.1 113.7
Rv0567 37111.4 158 112 98 85 97 155 28.6 5.3 1.2 11.6 18.0 17.3
Rv0568 50687.5 140 149 123 119 146 119 12.8 13.5 46.8 24.9 25.1 34.1
Rv0569 9522.7 59 6244 7818 7612 6915 1546 10.6 315.7 725.9 715.6 599.2 208.3
Rv0570 74489.0 301 537 695 649 739 386 82.7 102.2 13.8 43.4 81.1 22.0
Rv0571c 46655.3 135 399 442 346 381 208 7.7 15.9 84.4 25.4 27.4 30.5
Rv0572c 12811.3 12 28 22 24 21 11 3.7 5.5 7.2 2.3 5.3 1.6
Rv0573c 50508.6 29 53 70 61 68 31 5.2 5.2 7.6 2.7 7.0 2.9
Rv0576 46407.7 318 390 367 295 332 322 28.1 27.5 17.1 15.6 34.6 89.9
Rv0577 27342.9 932 1221 1210 1152 1119 1068 69.2 14.2 84.6 103.2 14.7 116.3
Rv0580c 18034.8 910 681 809 993 1071 903 80.1 91.4 153.2 117.6 118.7 197.6
Rv0583c 23682.4 675 594 512 384 460 576 12.2 50.3 41.8 83.4 46.1 86.7
Rv0586 26509.2 45 30 30 32 48 46 15.9 8.4 7.7 8.7 5.1 13.4
Rv0597c 44694.2 44 44 53 55 59 34 2.2 4.1 12.3 2.4 1.6 2.7
Rv0598c 14786.1 71 70 57 62 62 67 14.7 2.7 6.9 6.3 0.9 22.0
Rv0599c 8212.4 254 214 165 201 208 197 19.9 9.3 20.9 26.8 19.8 46.8
Rv0613c 92721.4 524 446 411 383 392 526 67.5 44.0 63.6 57.9 33.8 166.5
Rv0632c 24354.9 1366 1538 1581 1305 1255 1522 34.8 162.7 169.3 251.8 33.3 352.0
Rv0633c 32261.7 209 188 157 134 160 141 22.6 5.2 21.1 10.2 6.6 8.7
Rv0634A 9408.4 898 663 508 444 433 704 73.5 68.9 41.5 56.0 29.2 157.8
Rv0634B 6495.5 698 590 483 339 433 685 97.3 28.3 57.1 23.5 85.1 153.8
Rv0634c 25896.1 229 284 294 261 240 224 11.1 11.4 9.8 12.8 24.7 28.2
Rv0635 17448.5 1229 1208 1002 964 979 1208 141.4 157.0 72.3 86.4 56.9 129.0
Rv0636 14934.0 3180 3208 3162 3227 3032 3259 306.5 405.3 129.7 450.8 281.2 386.3
Rv0637 18929.7 758 738 596 604 655 698 72.6 48.6 44.1 39.2 18.9 60.3
Rv0638 16924.3 300 267 224 174 228 296 23.8 43.3 14.0 13.7 13.9 37.7
Rv0639 25414.5 1847 2311 2297 2310 2383 2536 210.7 219.5 111.7 173.2 49.5 621.2
Rv0640 15003.4 1239 1313 1156 1139 1403 1578 152.8 145.9 56.8 39.4 73.1 125.3
Rv0641 24756.4 1770 2006 1667 1377 1553 1885 309.5 282.7 211.5 27.1 116.5 435.7
Rv0642c 34670.4 1161 1157 756 648 690 1016 162.4 129.9 44.4 9.1 78.1 94.9
Rv0643c 33262.9 549 462 341 284 297 373 100.4 55.0 41.8 21.0 24.1 108.5
Rv0644c 32724.3 671 675 524 418 439 593 104.6 55.0 27.9 23.7 60.1 94.0
Rv0645c 33149.4 121 154 147 128 140 142 2.8 11.1 4.7 9.0 23.4 39.0
Rv0646c 32931.0 139 121 104 98 114 132 21.9 23.1 28.5 12.2 25.6 27.5
Rv0647c 54824.0 250 247 276 312 346 283 50.3 19.8 26.9 20.5 51.5 30.5
Rv0651 18478.3 2152 2267 2011 2020 2005 2476 138.8 253.2 380.0 114.1 91.6 375.5
Rv0652 13440.5 7663 6356 5722 5928 5694 6812 962.7 383.6 624.1 495.7 52.3 512.1
Rv0654 54943.8 358 325 320 275 353 327 75.6 15.6 17.1 5.6 16.0 96.9
Rv0655 39362.2 1411 695 663 691 764 732 200.9 161.6 27.9 119.7 111.1 179.6
Rv0667 129218.0 2629 2472 1964 1998 2459 2803 293.3 172.0 140.5 53.0 92.2 332.5
Rv0668 146737.0 3208 2281 2103 2436 2747 3279 328.8 321.6 356.9 493.2 120.6 352.8
Rv0669c 69490.1 240 196 176 157 167 208 21.3 1.7 7.6 15.3 18.4 52.6
Rv0670 26813.1 429 677 713 569 584 584 46.8 20.9 71.1 59.4 9.4 95.5
Rv0672 58534.5 240 287 243 213 316 300 18.5 4.7 6.3 20.2 44.7 26.6
Rv0673 33541.1 26 28 27 25 30 27 0.9 2.2 2.9 3.9 1.7 6.3
Rv0675 27441.4 329 393 521 397 429 376 59.4 35.0 107.1 55.8 46.2 81.5
Rv0676c 104785.0 39 42 50 51 50 36 6.2 2.8 4.2 1.5 9.1 4.3
Rv0677c 15248.5 110 117 88 64 68 83 17.7 17.8 10.9 4.6 8.2 23.2
Rv0678 18346.7 192 205 177 123 166 113 54.3 35.3 29.0 36.3 14.8 43.5
Rv0681 21230.0 81 99 94 74 77 74 2.2 7.9 6.8 3.2 2.3 15.2
Rv0682 13849.2 475 700 570 698 564 875 410.9 357.1 149.0 222.7 87.9 554.7
Rv0683 17600.4 2196 1013 1353 1681 2078 1690 475.9 301.7 769.0 327.9 351.3 358.0
Rv0684 77170.5 1382 1479 1281 1253 1348 1665 152.9 109.9 112.5 82.0 60.7 202.0
Rv0685 43561.5 19730 22048 21995 26553 22659 24497 1889.1 694.1 1684.3 4927.1 771.5 3230.1
Rv0686 28543.2 354 359 382 307 383 397 42.3 13.7 16.4 16.7 32.0 35.9
Rv0687 28995.9 210 242 241 228 260 241 28.2 3.3 24.6 10.6 15.4 46.5
Rv0688 43017.8 403 443 386 360 354 395 24.7 34.0 23.4 63.3 21.2 86.7
Rv0690c 38098.3 106 93 88 82 95 90 16.2 15.8 13.6 2.7 10.5 13.2
Rv0694 42129.2 146 134 175 170 199 144 7.5 24.0 21.5 2.2 25.9 12.1
Rv0700 11399.2 2786 2856 2516 2293 2378 2958 290.3 281.9 353.4 174.1 283.4 792.2
Rv0701 23090.5 1160 1170 1106 1275 1335 1527 168.4 436.2 443.0 73.7 137.7 725.8
Rv0702 23742.9 1868 1766 1410 1433 1649 1996 335.5 378.8 318.2 40.8 61.7 594.6
Rv0703 10957.8 868 966 744 558 624 1047 184.2 146.0 45.2 88.2 113.1 285.0
Rv0704 30576.8 210 516 457 479 502 675 104.1 324.8 222.0 100.8 131.4 424.6
Rv0705 10803.5 895 966 831 635 740 998 186.5 113.3 122.4 54.2 91.4 356.6
Rv0706 20380.5 238 724 551 729 682 823 73.5 661.4 270.5 150.9 167.8 650.3
Rv0707 29987.9 2208 1617 1747 1906 2133 2079 217.3 467.4 482.5 151.8 99.0 325.9
Rv0708 15692.2 526 292 394 713 772 419 371.9 121.6 188.7 135.6 213.7 85.2
Rv0709 8859.0 2524 2180 2029 1833 1954 2261 306.8 80.6 364.8 131.2 132.1 442.8
Rv0710 14840.4 1049 1112 885 704 785 1463 614.6 488.6 155.2 58.1 72.9 733.7
Rv0711 86214.5 35 35 43 34 42 48 5.9 3.6 4.3 2.8 5.2 1.6
Rv0712 32711.7 93 107 112 95 89 101 1.8 15.3 21.6 8.3 3.2 11.1
Rv0713 33925.1 23 16 14 12 16 20 2.8 1.7 2.6 1.6 1.4 3.0
Rv0714 13395.6 877 786 698 759 861 940 20.7 141.5 152.3 25.8 74.7 199.6
Rv0715 11475.2 1550 1774 1460 1183 1229 1506 155.6 107.5 214.0 118.6 167.6 407.3
Rv0716 21019.3 1207 1051 1061 992 1049 1196 61.3 174.0 357.2 106.3 93.4 138.7
Rv0718 14411.6 1188 855 713 854 999 1232 169.3 198.4 277.4 98.8 125.4 90.4
Rv0719 19377.3 1206 853 768 977 1069 1345 266.8 333.8 342.1 119.7 123.7 304.0
Rv0720 13184.1 994 875 643 813 855 1141 401.1 493.1 372.1 172.7 125.4 646.3
Rv0721 22888.2 2296 1736 1695 1751 1962 2182 259.4 395.4 296.1 122.9 169.2 524.5
Rv0723 15501.0 500 702 465 606 605 821 241.6 367.9 54.2 54.9 52.8 585.4
Rv0724 65935.9 297 478 381 280 311 430 56.0 59.4 41.6 23.8 4.1 112.0
Rv0726c 40875.9 39 31 24 28 39 40 6.1 3.1 6.6 10.0 2.7 2.5
Rv0730 25980.1 772 1011 1256 1087 1093 907 37.9 83.9 228.2 254.2 124.8 113.0
Rv0731c 34950.0 405 540 534 466 430 422 71.8 23.2 27.6 30.3 23.5 79.8
Rv0732 47579.3 180 149 148 138 169 181 18.2 9.6 27.0 12.6 15.4 23.9
Rv0733 20092.8 2407 2590 2114 1912 1805 2166 130.8 286.5 149.9 307.1 144.8 544.7
Rv0734 27276.9 328 468 442 328 377 342 50.0 48.7 69.3 38.7 10.6 96.4
Rv0738 19115.7 354 435 421 340 360 377 23.0 31.0 71.5 25.5 14.5 20.9
Rv0743c 20142.8 31 28 24 32 30 40 12.7 5.7 6.8 3.0 3.4 5.1
Rv0751c 29679.0 148 172 186 166 170 157 11.9 7.7 8.9 8.5 6.3 30.8
Rv0752c 41451.2 172 218 233 199 243 223 9.7 35.5 38.2 15.9 20.7 12.3
Rv0753c 54453.9 362 591 638 512 697 567 16.5 59.7 93.8 23.0 61.2 30.1
Rv0756c 24884.5 667 956 925 864 855 775 515.0 104.4 133.4 89.3 85.2 173.5
Rv0757 27513.5 483 696 569 444 483 425 88.5 31.8 57.4 29.7 26.6 116.2
Rv0758 52016.4 101 89 107 109 93 65 14.3 8.7 8.1 26.4 3.0 8.1
Rv0759c 11926.8 89 97 94 90 90 94 13.2 2.0 2.7 15.7 5.0 30.4
Rv0760c 15242.0 385 283 249 281 277 306 73.2 45.3 7.5 52.3 10.9 58.3
Rv0761c 39715.6 1947 1779 1468 1032 1184 1814 322.8 308.2 225.2 65.4 87.6 513.8
Rv0767c 22539.7 68 105 138 102 117 112 11.8 14.3 43.4 32.0 19.2 3.3
Rv0768 51183.9 20 25 23 23 24 21 2.6 0.7 1.4 1.1 1.9 2.5
Rv0769 25965.9 163 146 155 150 164 159 12.9 6.9 24.0 8.7 10.0 9.5
Rv0772 43476.6 208 202 162 167 199 179 15.0 19.6 9.7 14.4 5.8 31.8
Rv0773c 54592.9 66 83 77 74 84 84 4.9 19.1 15.3 9.0 13.2 11.0
Rv0774c 30653.9 80 83 55 28 28 72 10.3 9.4 3.3 1.9 2.8 22.1
Rv0777 51008.4 228 183 224 204 208 192 9.7 14.7 13.2 17.7 27.3 35.3
Rv0778 45954.0 184 131 135 123 132 155 21.9 16.0 17.5 6.5 8.7 22.2
Rv0779c 21572.2 162 118 82 101 129 125 10.3 21.0 42.6 18.0 28.0 10.6
Rv0780 32930.2 409 466 439 482 495 451 71.8 33.9 81.0 74.9 5.6 58.6
Rv0785 61219.7 149 116 122 121 130 138 10.0 22.1 16.5 6.6 23.7 21.8
Rv0786c 13917.0 116 153 178 142 142 106 8.2 5.6 11.3 5.3 11.6 0.5
Rv0787A 8589.7 337 293 277 263 242 318 83.7 15.4 21.2 28.0 15.0 50.3
Rv0788 23600.8 526 600 501 459 485 552 32.9 115.5 61.2 54.8 69.7 39.4
Rv0791c 37714.8 92 100 99 91 107 92 8.0 9.4 7.9 19.9 10.4 20.7
Rv0794c 52476.4 98 88 94 86 94 128 30.5 34.5 38.2 15.8 25.6 20.9
Rv0795 12004.6 386 389 400 332 375 340 12.5 18.5 72.5 44.2 44.9 104.3
Rv0798c 28830.4 399 318 347 310 361 303 37.7 50.5 14.6 19.7 23.3 35.5
Rv0799c 36015.7 182 193 147 181 178 152 7.5 26.2 35.1 26.5 13.7 29.3
Rv0800 46013.0 220 229 244 173 195 232 23.1 13.4 47.2 21.5 24.1 64.2
Rv0801 12512.2 737 614 620 535 533 667 159.7 61.8 55.4 45.0 29.5 129.0
Rv0802c 24983.3 190 141 127 122 149 144 21.7 50.7 39.1 7.5 41.0 47.3
Rv0803 79475.0 402 411 403 558 644 414 35.0 39.5 45.5 202.7 221.2 53.7
Rv0806c 60268.0 36 20 26 26 19 27 8.6 3.1 17.9 18.0 4.2 4.1
Rv0808 56129.6 75 69 54 53 55 62 23.4 3.9 2.0 14.2 9.8 17.8
Rv0809 38393.3 300 329 371 315 351 335 32.7 15.2 25.2 26.8 19.9 50.1
Rv0810c 6900.4 459 785 969 707 626 448 35.7 85.7 140.8 3.3 65.3 101.2
Rv0811c 39414.8 132 156 169 145 157 158 17.3 7.1 6.0 6.8 13.1 36.9
Rv0812 31090.6 98 76 67 72 80 83 7.6 7.7 7.0 10.9 15.2 7.0
Rv0813c 23868.3 76 77 77 69 70 85 4.1 3.8 10.6 10.0 5.1 20.3
Rv0814c 10165.3 6104 5289 5254 5369 5014 4622 127.1 491.1 865.4 397.8 487.5 895.9
Rv0815c 31014.6 5417 6813 6068 5343 6186 4265 794.6 446.5 13.6 245.5 218.1 867.7
Rv0817c 28567.7 126 145 129 132 142 141 11.5 7.3 7.5 29.1 10.3 18.6
Rv0818 27579.4 308 331 315 283 293 269 51.2 36.4 17.6 22.1 40.4 33.5
Rv0819 33567.1 211 215 239 235 241 194 20.6 13.3 25.7 5.9 25.9 19.1
Rv0820 28029.1 169 151 142 128 143 183 10.1 17.5 24.7 4.3 11.2 35.3
Rv0821c 23513.8 212 259 278 280 288 222 19.0 30.5 8.4 53.8 18.4 37.9
Rv0822c 72904.9 20 7 6 6 6 9 2.8 1.9 0.9 0.2 1.1 1.1
Rv0823c 41388.4 117 154 141 142 182 87 11.0 10.8 36.5 12.1 20.7 19.5
Rv0824c 38770.2 1355 7493 8407 5938 6216 2215 121.3 293.4 1427.6 733.2 343.1 277.5
Rv0825c 23409.8 308 209 159 134 164 235 12.9 29.9 16.8 11.8 12.3 42.6
Rv0830 33416.5 117 134 117 124 122 138 14.1 8.5 11.9 11.9 12.8 18.6
Rv0831c 30189.2 2679 3484 3563 2930 3074 3134 168.1 123.1 108.9 376.2 286.5 385.9
Rv0844c 22916.4 318 378 377 336 342 330 13.7 6.3 36.3 13.9 14.1 69.8
Rv0845 45751.4 79 72 61 72 87 96 12.0 3.7 12.3 9.9 13.8 11.2
Rv0846c 53795.9 47 93 111 97 117 64 7.2 13.8 22.8 15.9 7.1 3.8
Rv0853c 59751.1 250 216 232 220 244 251 25.7 14.6 16.3 19.8 9.9 45.3
Rv0854 16345.6 231 251 293 266 263 242 26.8 26.5 20.9 34.4 21.4 46.4
Rv0855 38026.5 41 38 41 39 47 34 4.5 3.2 3.7 4.2 4.6 0.9
Rv0858c 42209.1 139 157 142 146 163 151 19.1 10.4 36.5 6.0 13.5 19.1
Rv0859 42414.5 1145 2828 2941 2764 2734 1862 116.0 132.8 142.8 162.3 32.3 403.7
Rv0860 76104.1 1776 2989 3329 3174 3420 2488 25.8 381.2 167.4 184.4 135.2 123.2
Rv0861c 59772.2 167 146 134 150 153 184 3.0 8.9 16.1 16.7 17.2 12.3
Rv0862c 79666.5 72 49 53 55 48 53 4.9 5.8 9.8 18.0 3.8 4.6
Rv0863 10079.3 1290 1185 1266 1137 1144 1038 339.9 118.6 72.4 101.9 75.0 232.6
Rv0864 17598.1 84 84 87 82 80 83 5.7 6.6 6.8 2.5 8.7 10.4
Rv0865 16188.3 123 133 129 128 127 122 16.8 38.3 44.4 13.3 25.1 50.7
Rv0871 14989.0 1031 1106 1093 1026 999 1189 24.7 65.5 136.5 154.7 126.8 142.1
Rv0873 70744.6 936 1167 1226 925 1050 901 52.3 44.7 119.7 99.8 25.6 208.1
Rv0875c 17800.5 78 80 70 59 75 69 2.7 4.8 7.9 17.9 13.2 6.4
Rv0877 27437.4 45 54 52 68 58 50 0.8 5.2 10.5 20.0 3.6 0.7
Rv0883c 27372.9 23 15 13 12 12 18 7.2 1.5 1.1 1.4 1.3 4.3
Rv0884c 40233.4 998 1186 1210 984 1066 1201 71.2 62.2 72.6 10.5 109.5 119.5
Rv0885 39798.0 63 173 164 156 160 91 5.5 29.8 28.6 38.7 36.3 27.8
Rv0887c 16098.2 40 57 69 71 68 55 6.6 3.0 12.6 13.1 11.4 6.6
Rv0888 52034.2 104 106 97 95 100 75 8.7 14.5 8.4 26.9 17.0 15.7
Rv0889c 40146.8 489 566 620 474 543 506 69.8 22.9 19.5 31.5 55.0 27.0
Rv0896 47946.4 3488 3881 3837 2989 3568 3644 77.8 38.5 262.5 251.5 384.5 391.4
Rv0898c 9920.1 132 143 152 143 151 129 27.7 2.5 26.8 6.0 19.7 12.2
Rv0899 33542.1 134 135 126 104 111 124 9.3 9.1 14.7 3.3 5.0 11.2
Rv0902c 47829.3 262 253 255 265 269 229 36.2 12.5 59.0 25.4 13.4 55.8
Rv0903c 25253.9 420 407 390 282 307 277 245.9 35.7 27.5 41.5 10.4 34.1
Rv0904c 51740.3 13 10 11 11 10 12 2.1 1.2 2.7 0.6 2.0 2.8
Rv0905 26028.8 1076 1472 1174 890 969 1511 147.8 9.9 116.9 41.0 160.1 255.7
Rv0906 40641.2 196 258 303 231 262 229 28.0 8.1 39.1 9.1 40.5 18.5
Rv0908 84973.5 109 209 222 188 199 177 13.7 9.8 18.8 22.5 16.3 15.2
Rv0909 6403.1 44 18 13 13 14 33 7.6 2.2 2.5 2.7 0.5 6.8
Rv0910 15754.5 111 145 159 105 139 118 8.6 13.2 40.1 13.2 23.1 13.3
Rv0911 27594.7 174 158 152 118 133 144 3.4 13.9 14.8 7.7 3.2 25.0
Rv0913c 56639.1 53 71 76 61 66 54 6.7 4.2 7.5 0.6 5.7 19.0
Rv0914c 43874.9 132 103 156 97 150 91 28.5 13.1 64.9 3.1 86.4 15.6
Rv0923c 39059.3 102 86 86 97 75 80 5.9 23.8 6.2 31.3 8.1 24.0
Rv0925c 26944.3 685 745 708 551 623 674 31.6 27.2 55.1 81.1 48.5 125.2
Rv0926c 37751.3 274 281 286 263 248 263 66.4 13.7 7.8 20.5 11.5 81.9
Rv0927c 26745.7 302 284 266 284 305 304 26.6 25.1 45.3 9.1 22.9 25.9
Rv0928 37935.1 402 415 379 331 317 503 21.0 32.4 27.0 116.5 52.1 195.5
Rv0931c 69513.2 1477 1626 1737 1544 1710 1504 29.1 245.4 362.1 169.8 169.8 241.8
Rv0932c 37832.0 417 388 383 296 338 342 19.8 20.1 11.8 40.6 67.3 37.2
Rv0933 29996.4 226 166 150 146 166 207 38.3 3.6 5.0 7.7 19.5 22.5
Rv0934 38211.1 1958 2032 1376 837 1090 1840 236.5 196.6 128.2 77.6 240.9 162.2
Rv0936 32235.9 43 36 37 34 37 34 5.9 2.8 4.5 2.6 3.9 10.2
Rv0937c 30904.0 83 99 101 91 99 94 4.0 10.3 2.8 5.0 13.4 14.1
Rv0938 83572.4 98 100 92 97 97 101 11.8 6.2 28.8 4.7 9.0 20.6
Rv0939 69353.6 100 129 161 119 122 88 11.8 6.2 15.1 4.0 10.5 12.3
Rv0940c 31756.5 117 123 122 112 116 106 9.7 10.3 7.6 11.3 14.2 14.0
Rv0941c 27138.1 53 39 43 43 47 40 7.4 2.7 5.4 5.5 6.6 2.4
Rv0946c 59974.4 405 475 492 420 451 448 36.3 15.7 30.3 16.3 15.2 37.8
Rv0949 85049.9 205 186 168 150 234 253 17.6 15.2 27.7 49.1 5.0 18.4
Rv0951 40925.7 1722 1911 1749 1551 1696 1781 160.7 127.4 117.8 140.6 142.4 185.7
Rv0952 31228.9 1941 2112 2365 2164 2103 1968 8.0 85.9 78.1 274.4 170.0 258.9
Rv0953c 30913.3 130 161 152 143 156 138 12.6 11.7 9.2 6.9 5.2 35.0
Rv0956 22383.7 189 167 133 151 164 186 27.8 29.5 29.0 20.8 38.3 29.3
Rv0957 55026.2 634 690 532 453 518 658 33.4 41.3 45.5 24.6 19.9 58.6
Rv0958 49581.4 114 138 124 114 118 137 22.2 31.3 26.3 7.4 12.0 25.5
Rv0959A 7918.0 135 145 150 141 181 147 18.6 65.0 20.7 73.7 47.9 14.1
Rv0966c 22210.2 93 50 48 55 61 76 13.4 12.7 12.2 10.6 5.9 12.0
Rv0969 80102.5 39 52 80 80 80 70 1.1 5.8 30.0 17.9 8.8 12.3
Rv0971c 27604.5 38 68 82 71 72 49 2.5 16.7 5.2 6.2 13.9 5.6
Rv0972c 41483.3 97 220 241 200 226 134 10.3 40.9 35.3 13.7 13.2 5.2
Rv0973c 70744.8 85 117 117 117 133 100 5.9 5.6 18.2 7.1 16.6 15.5
Rv0974c 56224.3 48 81 82 78 83 51 5.8 8.9 2.4 9.2 7.3 0.9
Rv0975c 40715.1 51 68 74 75 97 58 3.8 8.9 19.5 11.7 10.9 9.6
Rv0981 25675.4 320 426 412 391 396 342 27.5 26.9 11.3 4.0 32.2 67.8
Rv0982 54407.7 74 77 82 97 111 75 1.5 2.0 9.3 3.3 11.5 6.5
Rv0983 46452.6 425 397 312 202 400 433 37.8 53.0 47.8 26.4 2.9 74.6
Rv0984 18441.0 891 1057 1018 1218 1267 1132 142.8 146.6 221.4 135.2 190.0 156.4
Rv0985c 16023.5 245 186 177 184 183 226 36.3 43.0 46.3 35.3 40.7 32.3
Rv0986 27373.1 74 79 68 59 72 73 8.8 16.0 8.5 7.8 6.2 5.3
Rv0988 42776.0 28 22 18 23 22 20 6.5 0.3 6.2 7.7 1.1 2.6
Rv0989c 34757.3 82 98 90 74 86 85 11.5 14.2 10.9 6.8 6.6 10.0
Rv0991c 11426.3 512 504 263 268 293 607 107.1 110.5 104.0 22.9 54.5 346.3
Rv0992c 21412.9 93 109 100 111 123 105 5.4 9.0 26.1 35.6 19.6 19.6
Rv0993 32378.2 281 280 470 830 868 523 44.4 36.4 28.8 142.0 261.2 270.5
Rv0994 44304.8 233 182 167 137 168 159 26.7 25.2 26.1 17.5 21.7 35.5
Rv0998 35607.8 26 31 37 32 38 27 3.7 3.6 1.9 6.5 2.5 4.1
Rv0999 25937.6 144 127 98 82 93 123 6.7 3.3 25.3 6.3 8.4 23.5
Rv1001 43057.1 541 455 409 532 447 552 101.5 119.6 86.9 77.0 65.4 159.8
Rv1003 29665.1 65 61 72 67 66 63 4.0 1.4 11.4 4.2 10.9 8.8
Rv1006 61297.6 347 427 399 349 363 386 18.4 21.8 9.0 27.0 47.7 43.9
Rv1007c 58092.6 208 222 229 183 211 255 6.2 7.4 15.1 12.5 11.5 20.7
Rv1008 29065.1 118 106 99 95 96 121 10.7 8.5 9.6 5.5 4.8 28.2
Rv1013 58449.3 536 515 417 339 432 717 79.5 43.1 0.9 58.1 33.2 81.0
Rv1015c 22441.2 1189 1394 1098 1021 1121 1241 85.7 47.8 161.3 27.6 76.1 200.2
Rv1017c 35459.4 1129 1168 1057 985 1195 1363 56.9 119.9 142.6 70.5 28.5 199.8
Rv1018c 51584.0 286 269 273 236 310 288 29.1 28.7 39.4 34.2 16.6 34.1
Rv1019 21701.5 206 239 291 233 251 201 18.8 10.9 19.9 13.4 16.7 45.8
Rv1020 132908.0 181 163 171 177 173 157 26.0 25.5 23.6 27.7 5.6 37.1
Rv1021 35413.2 245 274 281 284 267 243 21.7 17.5 33.7 12.3 8.7 59.3
Rv1023 44929.5 1703 1857 1757 1656 1674 1873 101.3 59.9 59.8 97.2 91.1 235.2
Rv1025 16593.1 43 43 42 46 45 35 7.0 10.5 2.8 4.4 1.8 3.2
Rv1026 33631.4 79 84 65 67 77 86 6.3 12.5 15.9 9.7 6.3 22.3
Rv1027c 24741.4 24 31 27 28 33 29 1.8 6.7 5.2 3.4 3.1 11.3
Rv1033c 29209.4 310 328 230 260 290 283 31.3 55.8 130.3 137.4 40.1 82.0
Rv1056 28945.6 197 235 238 224 226 193 10.4 15.2 6.5 24.4 21.6 21.8
Rv1058 59624.6 347 295 285 451 497 212 130.1 94.2 107.0 39.5 44.4 14.4
Rv1059 36878.2 260 304 288 284 327 260 43.6 59.4 97.4 21.0 16.4 48.9
Rv1060 16866.5 231 225 203 191 212 253 18.9 49.9 32.0 3.8 17.0 67.6
Rv1061 32037.8 55 85 84 87 101 80 7.4 10.7 7.3 13.0 5.4 15.1
Rv1063c 37522.7 152 195 193 200 237 181 7.6 17.4 38.0 27.3 10.0 26.9
Rv1066 14032.9 262 342 285 275 282 135 97.5 91.5 24.3 21.2 23.6 12.8
Rv1069c 64341.5 147 149 137 122 138 132 7.7 7.3 16.2 10.7 14.5 1.1
Rv1070c 27273.1 1112 1462 1450 1481 1446 1351 55.8 147.8 59.8 216.5 134.9 241.9
Rv1071c 36322.0 452 540 480 431 460 517 62.2 48.1 84.6 29.1 30.0 78.4
Rv1074c 42655.4 1982 2544 2300 1968 2037 1953 131.3 254.8 341.5 138.1 24.2 390.3
Rv1077 48635.2 578 737 814 817 667 645 42.4 13.8 88.0 179.2 62.5 141.7
Rv1078 25076.0 243 298 220 188 208 271 57.9 70.5 27.9 22.0 52.9 115.8
Rv1079 40982.3 303 300 305 272 303 297 35.1 31.8 27.7 13.2 16.2 58.9
Rv1080c 17854.7 1457 1030 986 940 888 1457 114.6 104.5 124.6 100.5 40.8 300.1
Rv1082 32699.7 299 489 426 387 397 306 38.2 48.2 76.0 26.9 36.0 34.9
